word,onsets,offsets
once,0.1132,0.7282
when,0.7282,0.919408
i,0.919408,1.024887
was,1.024887,1.1582
six,1.1582,1.464064
years,1.464064,1.671187
old,1.671187,1.9729
i,2.3421,2.480433
saw,2.480433,2.6871
a,2.6871,2.851486
magnificent,2.851486,3.723461
picture,3.723461,4.2971
in,4.2971,4.3571
a,4.3571,4.4371
book,4.4371,4.7253050000000005
about,4.7253050000000005,4.9471
the,4.9471,5.053069
primeval,5.053069,5.634385
forest,5.634385,6.2471
called,6.2471,6.8271
real,6.8271,7.2771
life,7.2771,7.5671
stories,7.5671,8.3391
it,9.247,9.432
showed,9.432,9.754797
a,9.754797,9.812
boa,9.812,10.176363
constrictor,10.176363,10.875705
swallowing,10.875705,11.486812
a,11.486812,11.592
wild,11.592,11.99988
animal,11.99988,12.4161
here,13.1444,13.343573
is,13.343573,13.4694
a,13.4694,13.5094
copy,13.5094,13.899992999999998
of,13.899992999999998,13.9994
the,13.9994,14.0794
drawing,14.0794,14.4637
it,15.8604,16.023198
said,16.023198,16.263999
in,16.263999,16.3654
the,16.3654,16.436526999999998
book,16.436526999999998,16.7551
boa,17.219,17.584
constrictors,17.584,18.321912
swallow,18.321912,18.811869
their,18.811869,18.984
prey,18.984,19.45755
whole,19.45755,19.913324
without,19.913324,20.334
chewing,20.334,20.9022
then,21.5606,21.8756
they,21.8756,22.00599
are,22.00599,22.1056
not,22.1056,22.3056
able,22.3056,22.5656
to,22.5656,22.7056
move,22.7056,23.37093
and,23.37093,23.6256
they,23.6256,23.745426
sleep,23.745426,24.149488
for,24.149488,24.2556
the,24.2556,24.3556
six,24.3556,24.7856
months,24.7856,25.135004
it,25.135004,25.2256
takes,25.2256,25.4956
for,25.4956,25.6056
digestion,25.6056,26.3391
so,27.2919,27.776766
i,27.776766,27.8869
thought,27.8869,28.1669
a,28.1669,28.266323
lot,28.266323,28.4869
about,28.4869,28.7369
the,28.7369,28.854372
adventures,28.854372,29.387381
of,29.387381,29.474285
the,29.474285,29.5869
jungle,29.5869,30.1011
and,30.2955,30.547531
in,30.547531,30.734243
turn,30.734243,31.393568
i,31.393568,31.6005
managed,31.6005,32.1305
with,32.1305,32.2305
a,32.2305,32.286282
coloured,32.286282,32.6005
pencil,32.6005,33.1246
to,33.3989,33.5239
make,33.5239,33.7639
my,33.7639,34.0339
first,34.0339,34.4139
drawing,34.4139,34.8236
my,35.2576,35.463054
drawing,35.463054,35.875818
number,35.875818,36.3626
one,36.3626,36.6474
it,37.1861,37.3111
looked,37.3111,37.6311
like,37.6311,37.8911
this,37.8911,38.3256
i,39.6076,39.790912
showed,39.790912,40.1026
my,40.1026,40.2726
masterpiece,40.2726,40.9426
to,40.9426,41.0526
the,41.0526,41.1126
grownups,41.1126,41.934157
and,41.934157,42.0826
i,42.0826,42.24293
asked,42.24293,42.6126
them,42.6126,42.728792
if,42.728792,42.837771
my,42.837771,43.023943
drawing,43.023943,43.346338
